Designator,Part Number,Value,Description,Package,Quantity,LCSC Part,Alternative,Notes,Status
U1,AD8429BRZ,Instrumentation Amp,Low-noise IA 1nV/rtHz for RX1,SOIC-8,1,C9561,INA128/AD620,First stage gain=7255 with RG=6.81Ω,Original
U2,AD797BRZ,Low-Noise Op-Amp,Post-amp stage for RX1,SOIC-8,1,C7433,NE5534,Gain=11 second stage,Original
U3,AD8429BRZ,Instrumentation Amp,RX2,SOIC-8,1,C9561,INA128,Same as U1,Original
U4,AD797BRZ,Low-Noise Op-Amp,RX2 post-amp,SOIC-8,1,C7433,NE5534,Same as U2,Original
U5,AD8429BRZ,Instrumentation Amp,RX3,SOIC-8,1,C9561,INA128,,Original
U6,AD797BRZ,Low-Noise Op-Amp,RX3 post-amp,SOIC-8,1,C7433,NE5534,,Original
U7,PGA281AIDR,Programmable Gain Amp,Replaces wrong PGA855,TSSOP-16,1,C693247,4x AD8253,CORRECTED from PGA855DSR,Corrected
U8,ADS1256IDBR,24-bit ADC,Main ADC 30kSPS,SSOP-28,1,C37797,None,Critical - no substitute,Original
U9,STM32H743VIT6,ARM Cortex-M7 MCU,Main processor 480MHz,LQFP-100,1,C126830,STM32H750,Needs Y1 Y2 BOOT0 pull-down,Original
U10,K210 Sipeed M1n,AI Vision Processor,RISC-V dual-core + KPU,Module,1,C2879620,None,Needs 1.8V + 0.9V LDO,Original
U11,REF5025AIDGK,Voltage Reference 2.5V,0.05% precision ref,MSOP-8,1,C62063,TL431+0.1% R,Critical for ADC accuracy,Original
U12,TC4420CPA,MOSFET Driver 6A,Gate driver for TX coil,DIP-8,1,C158775,IR4427,,Original
U13,MPU9250,9-Axis IMU,Accel+Gyro+Mag,QFN-24,1,C50481,ICM-20948,I2C addr 0x68,Original
U14,OV5640,5MP Camera Module,CMOS sensor with DVP,Module,1,C4022491,OV2640,Needs 24MHz OSC and 2.8V LDO,Original
U15,MP1584EN,Buck Converter 3A,5V output 100x60mm friendly,SOIC-8,1,C89358,LM2596S,REPLACES LM2596 (too big),Corrected
U16,MP1584EN,Buck Converter 3A,3.3V output,SOIC-8,1,C89358,AMS1117-3.3,Lower heat vs LDO,Original
U17,HC-05,Bluetooth Classic Module,SPP for mobile app,Module,1,C90617,JDY-31/ESP32,5V supply with level shift,Original
U18,SSD1306,OLED Driver 128x64,1.3 inch display I2C,Module,1,C2890,SH1106,Address 0x3C,Original
U19,USBLC6-2SC6,USB ESD Protection,TVS array 5V,SOT-23-6,1,C7519,,Original protection,Original
U20,B0505S-1W,Isolated DC-DC 5V/5V,Isolation for gate driver,DIP-4,1,C7465,,Reduces ESP32 noise 90%,Original
U21,RT9013-18GB,LDO 1.8V 500mA,K210 core rail,SOT-23-5,1,C47773,XC6206P182MR,ADDED - K210 1.8V rail,NEW
U22,RT9013-09GB,LDO 0.9V 500mA,K210 IO rail,SOT-23-5,1,C47772,None,ADDED - K210 0.9V rail,NEW
U23,RT9013-28GB,LDO 2.8V 500mA,Camera rail,SOT-23-5,1,C47775,,ADDED - OV5640 AVDD,NEW
OSC1,SG8002CA-24MHz,Crystal Oscillator,Active 24MHz for camera,SMD-3225,1,C80779,,ADDED - OV5640 clock,NEW
Y1,X322525MSB4SI,Crystal 25MHz 8pF,HSE for STM32H7,SMD-3225,1,C115962,,ADDED - STM32 main clock,NEW
Y2,ABS07-32.768KHZ,Crystal 32.768kHz 6pF,LSE for RTC,SMD-3215,1,C32346,,ADDED - STM32 RTC,NEW
Q1,IRF740,MOSFET N-Ch 400V 10A,TX coil switch,TO-220,1,C163387,IRF840/12N65,,Original
Q2,IRF740,MOSFET N-Ch 400V 10A,Damping switch,TO-220,1,C163387,IRF840,,Original
Q3,AO3400,MOSFET N-Ch 30V 5.7A,LED 3W driver,SOT-23,1,C20917,2N7002,ADDED - LED current control,NEW
Q4,2N2222,NPN BJT,Buzzer driver,SOT-23,1,C8544,MMBT2222A,,Original
J1,GX12-12P,Aviation Connector Female,Coil interface panel mount,Through-hole,1,C2896313,2x GX12-6P,Main coil connector,Original
J2,2.54mm 1x4 Header,SWD Programming Header,For STM32 flashing,Through-hole,1,C124377,,ADDED - mandatory for flashing,NEW
J3,TYPE-C-31-M-12,USB-C 16P Female,Charging + USB serial,SMD,1,C165948,,ADDED - USB-C port,NEW
J4,DC Jack 5.5x2.1,Power input,Battery charger,Through-hole,1,C319442,,,Original
